dataset,expression_file,expression_file_name,expression_size_mb,expression_readable_preview,n_preview_rows,n_preview_cols,gene_col_guess,gene_col_used_for_detection,n_features_detected,n_numeric_sample_like_cols,expression_scale_guess,numeric_min,numeric_median,numeric_max,integer_like_fraction,negative_fraction,zero_fraction,known_platform,known_platform_type,platform_class,pheno_file,pheno_readable,pheno_n_rows,pheno_sample_id_col,pheno_group_col,n_expr_sample_cols,n_matched_samples_between_expr_and_pheno,n_total_inferred,n_sepsis,n_control,n_healthy,n_sirs,n_other_or_unknown,has_sepsis_control_contrast,has_sirs_or_clinical_mimic,group_values_collapsed,detected_target_genes,n_detected_target_genes,n_final10_detected,n_nested_recurrent_detected,RNAseq_validation_eligibility,exclusion_or_review_reason
GSE236713,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/geo_series_matrix/GSE236713_series_matrix.txt.gz,GSE236713_series_matrix.txt.gz,102.842,TRUE,120,448,V1,,,0,not_expression_or_unreadable,,,,,,,GPL17077,microarray_known,microarray_known,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/main_pheno/GSE236713_main_pheno.csv,TRUE,155,sample_id,status,0,0,155,0,0,0,0,155,FALSE,FALSE,Public on Jan 08 2024,"",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE26378,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE26378_expr.csv,GSE26378_expr.csv,32.076,TRUE,120,104,V1,V1,54675,103,log2_or_log_normalized_likely,0.0532,1.017,9.955,0.0133333333333333,0,0,GPL570,microarray_known,microarray_known,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE26378_pheno_harmonized.csv,TRUE,103,sample_id,clinical_group,103,103,103,0,0,0,0,103,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE26440,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE26440_expr.csv,GSE26440_expr.csv,40.573,TRUE,120,131,V1,V1,54675,130,log2_or_log_normalized_likely,0.0783,1.016,7.536,0.000833333333333333,0,0,,,microarray_or_log_normalized_unknown,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE26440_pheno_harmonized.csv,TRUE,130,sample_id,clinical_group,130,130,130,0,0,0,0,130,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE28750,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE28750_expr.csv,GSE28750_expr.csv,26.087,TRUE,120,42,V1,V1,54675,41,log2_or_log_normalized_likely,2.105546432,4.5737682365,12.86212764,0,0,0,GPL570,microarray_known,microarray_known,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE28750_pheno_harmonized.csv,TRUE,41,sample_id,clinical_group,41,41,41,0,0,0,0,41,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE4607,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE4607_expr.csv,GSE4607_expr.csv,38.226,TRUE,120,124,V1,V1,54675,123,log2_or_log_normalized_likely,0.0147,1.002,29.4,0.035,0,0,,,microarray_or_log_normalized_unknown,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE4607_pheno_harmonized.csv,TRUE,123,sample_id,clinical_group,123,123,123,0,0,0,0,123,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE54514,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE54514_expr.csv,GSE54514_expr.csv,46.26,TRUE,120,164,V1,V1,24840,163,log2_or_log_normalized_likely,6.902160645,7.253611803,14.7777586,0,0,0,GPL6947,microarray_known,microarray_known,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/main_pheno/GSE54514_main_pheno.csv,TRUE,53,sample_id,status,163,53,53,0,0,0,0,53,FALSE,FALSE,Public on Feb 04 2014,"",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE57065,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE57065_expr.csv,GSE57065_expr.csv,44.683,TRUE,120,108,V1,V1,54675,107,log2_or_log_normalized_likely,1.52624,4.104135,10.8895,0,0,0,GPL570,microarray_known,microarray_known,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/main_pheno/GSE57065_main_pheno.csv,TRUE,54,,,107,,54,,,,,,FALSE,FALSE,,"",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE63042,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE63042_expr.csv,GSE63042_expr.csv,0.002,TRUE,1,130,V1,V1,0,0,not_expression_or_unreadable,,,,,,,,,unknown,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE63042_pheno_harmonized.csv,TRUE,129,sample_id,clinical_group,0,0,129,0,0,0,0,129,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE65682,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE65682_expr.csv,GSE65682_expr.csv,224.489,TRUE,120,803,V1,V1,24646,802,log2_or_log_normalized_likely,1.643092312,3.50557003,11.9087384,0,0,0,GPL13667,microarray_known,microarray_known,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/main_pheno/GSE65682_main_pheno.csv,TRUE,94,,V26,802,,94,93,93,0,0,1,TRUE,FALSE,"No_DM,abdominal_sepsis_and_controls:; NA,abdominal_sepsis_and_controls:; DM,abdominal_sepsis_and_controls:","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;target_genes_lt_7
GSE69528,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE69528_expr.csv,GSE69528_expr.csv,29.938,TRUE,120,139,V1,V1,18939,138,log2_or_log_normalized_likely,3.321928095,5.672122388,14.10767295,0,0,0,,,microarray_or_log_normalized_unknown,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE69528_pheno_harmonized.csv,TRUE,138,sample_id,clinical_group,138,138,138,0,0,0,0,138,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE74224,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE74224_expr.csv,GSE74224_expr.csv,12.872,TRUE,120,106,V1,V1,15989,105,log2_or_log_normalized_likely,2.75516,7.6354,13.11073,0,0,0,,,microarray_or_log_normalized_unknown,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/phenotype/GSE74224_pheno_harmonized.csv,TRUE,105,sample_id,clinical_group,105,105,105,0,0,0,0,105,FALSE,FALSE,"","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
GSE95233,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/bulk_gene_matrix/GSE95233_expr.csv,GSE95233_expr.csv,71.207,TRUE,120,125,V1,V1,54675,124,log2_or_log_normalized_likely,0.79870724,4.61478646,11.61394771,0,0,0,GPL570,microarray_known,microarray_known,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/02_processed_data/main_pheno/GSE95233_main_pheno.csv,TRUE,74,,V9,124,,74,0,22,0,0,52,FALSE,FALSE,"2017,RNA,1,Control; 2017,RNA,1,""Patient","",0,0,0,Not_eligible_platform_not_RNAseq_or_unclear,platform_not_RNAseq_or_unclear;no_clear_sepsis_control_contrast;target_genes_lt_7
